permno,permco,correlation
12025,53475,0.251047128879987
12026,53476,0.210638433865032
12027,53477,0.0227802916209086
12030,53478,-0.0636144426965286
12032,53479,0.258607189870789
12034,53343,-0.0645113931087995
12035,53005,0.49040067976072
12036,20773,0.782765438293379
12038,53480,0.0459679574500529
12039,53481,0.0916547889400576
12043,53482,0.192407329856505
12047,53146,0.602528057981114
12049,53483,0.212785983116834
12051,53484,0.159401764539175
12052,20791,0.802174472320708
12054,50699,0.586353849720253
12056,53485,0.132725700828427
12057,53486,0.05834368773832
12059,53271,-0.211109723965462
12060,20792,0.796413328077372
12062,9848,0.490233572487258
12063,9902,0.358473784017618
12064,53271,-0.164263883022627
12065,53271,-0.064246235366516
12066,53487,0.603592502319254
12067,9903,0.733322688175933
12068,7067,0.644567366986177
12070,53488,0.143198409206851
12072,3589,0.687566725405747
12073,9847,0.544372790374755
12074,9921,0.664193913918895
12075,50852,0.577620994671522
12076,9857,0.66211700842793
12077,53489,0.261450700803484
12078,53490,0.0163069830521286
12080,53491,0.305702603057415
12081,53492,0.321798334543816
12082,53493,0.0992872575149642
12084,53494,0.421004971565761
12085,53495,-0.0130670188751076
12088,53496,0.248531388920092
12089,53497,0.247028842834345
12090,53498,0.065706576589942
12093,53500,0.269282401615119
12097,53501,0.127383910226853
12098,53146,0.833847965734898
12101,53502,0.0397093821143067
12103,53503,0.168827675354616
12104,53504,0.260143934290751
12105,37493,0.672201110910811
12106,9884,0.14856598696407
12109,37493,0.646121429458093
12140,20833,0.819353619006598
12149,9879,0.0855710720179524
12166,9999,0.244261535615572
12169,10053,0.368089329815314
12173,9914,0.549577022950252
12175,20846,0.161336649704606
12188,9683,0.196054981744505
12189,10039,0.00431322755048041
12190,10042,0.0887319559930376
12209,10059,0.562083806029224
12211,9971,0.569076426327239
12214,9998,0.0755394487729309
12217,8268,0.70996817196307
12219,37493,0.744738862400804
12226,9977,0.498782744796229
12248,9898,0.104985273246216
12266,9899,0.336396874065609
12269,10004,0.553064477232128
12281,9974,-0.120899522985872
12287,37493,0.576046816367039
12288,53505,0.248864730997083
12289,53171,-0.0521741009815496
12290,53171,0.0538839400107759
12291,53506,0.414817802877476
12292,43629,0.889877007775836
12293,53507,0.217835157179901
12294,53508,0.890250262768408
12295,53508,0.813657927920493
12296,53508,0.782529433057964
12297,53508,0.825610582069315
12301,53508,0.852962837313411
12302,53508,0.789738974884326
12303,53508,0.816037265613634
12304,53508,0.840428950251571
12305,41593,0.9406843323867
12306,50852,0.776271885415401
12307,53510,0.181412526027448
12308,17322,0.259930965682327
12309,53511,0.110362864542121
12310,53512,0.155579523877105
12311,53513,-0.0835591605851164
12312,53514,0.225716628248122
12313,53292,0.933193271243081
12314,53292,0.8705150500814
12315,53292,0.856953282610136
12316,53292,0.904942696154343
12317,53292,0.920140082074408
12318,53292,0.942772560687369
12321,53292,0.879201369956967
12322,53202,0.909750416627913
12323,53515,0.323812184090579
12324,53516,0.257608157366291
12325,53518,0.446185985749168
12326,53519,0.553177997067284
12329,53520,0.0894022113723948
12330,53521,0.20120541582686
12331,53522,0.0598498557515918
12332,53523,0.681331541894669
12333,50699,0.652789427048807
12334,50699,0.584851916485187
12337,53525,0.0394192517742842
12338,53526,0.430526678225844
12339,53527,0.274626881400419
12340,53528,0.374711628477353
12341,53529,-0.0173590688741337
12342,53530,0.37077034025884
12345,53531,0.598232330520349
12346,53531,0.666696131381654
12347,53532,0.148789938838086
12348,53533,0.228773093120014
12349,53534,0.361818369866289
12350,53535,0.206579535954218
12352,53536,0.325314565240339
12353,53537,0.18167362744053
12354,53538,-0.0410542058183478
12355,53539,-0.0661275271600568
12356,53540,0.193754945823706
12357,53541,0.110174100046744
12358,53542,0.11794635311147
12359,53543,0.42723979216171
12360,53544,0.0214012247963731
