permno,permco,yearly_ret_2011
12101,53502,-0.220755848830234
12103,53503,-0.154016620498615
12104,53504,-0.279973817229717
12105,37493,-0.0632222977566282
12106,9884,-0.0753601333386244
12109,37493,-0.264490603363007
12140,20833,0.390043825148893
12149,9879,0.162790697674419
12166,9999,-0.42
12169,10053,-0.362666666666667
12173,9914,-0.253810975609756
12175,20846,-0.2125
12188,9683,-0.622222222222222
12189,10039,0.109048723897912
12190,10042,0.586626139817629
12209,10059,0.00312174817898035
12211,9971,-0.084098114466878
12214,9998,0.0192195690157251
12217,8268,-0.0566801619433198
12219,37493,-0.403593890386343
12226,9977,-0.544303797468354
12248,9898,-0.339895773016792
12266,9899,-0.55982905982906
12287,37493,-0.0620771985674492
12288,53505,-0.21591348010815
12289,53171,0.0272337821297428
12290,53171,0.142069908262759
12291,53506,-0.176972281449893
12292,43629,-0.178619302949062
12293,53507,-0.798537603784181
12294,53508,0.0189704641350211
12295,53508,-0.035995000694348
12296,53508,-0.0433379622568811
12297,53508,0.015272033089405
12301,53508,-0.0149824673254703
12302,53508,-0.0465722901658569
12303,53508,-0.0286726804123712
12304,53508,-0.0454248366013072
12305,41593,-0.0113577697470314
12306,50852,-0.224927491985956
12307,53510,-0.576979472140763
12308,17322,0.480499219968799
12309,53511,-0.181498829039813
12310,53512,-0.794333333333333
12311,53513,0.109090909090909
12312,53514,0.0939224825217711
12313,53292,-0.0149690295939435
12314,53292,0.0005065000844167
12315,53292,-0.0274908072141481
12316,53292,-0.0167123287671233
12317,53292,-0.0524105754276827
12318,53292,-0.0681420156026111
12321,53292,-0.0795566022413513
12322,53202,-0.0870579090555772
12323,53515,-0.274693583273252
12324,53516,-0.800702370500439
12325,53518,-0.838021338506305
12326,53519,-0.0184363263912599
12329,53520,-0.226182965299685
12330,53521,-0.476243093922652
12331,53522,0.175013758943313
12332,53523,-0.448447893569845
12333,50699,-0.417846970229037
12334,50699,-0.309321108928182
12337,53525,-0.390611902766136
12338,53526,-0.0146735143066765
12339,53527,-0.369785082174463
12340,53528,-0.402669632925473
12341,53529,-0.0935960591133005
12342,53530,0.0371148459383754
12345,53531,-0.0598958333333333
12347,53532,0.165738161559889
12348,53533,-0.117798353909465
12349,53534,0.710760795065113
12350,53535,-2.0161038961039
12352,53536,-0.813575081357508
12353,53537,-0.50307881773399
12354,53538,0.0541871921182265
12355,53539,0.0953020134228188
12356,53540,-0.518855656697009
12357,53541,-0.849546044098573
12358,53542,-0.868116200320798
12359,53543,-0.334154351395731
12360,53544,-0.828220858895706
12362,53545,0.100719424460432
12363,53546,-0.0649463612641346
12364,53547,-0.357993730407523
12365,53549,-0.554069119286511
12366,53550,-0.101094319958312
12367,53551,-0.788765957446809
12368,53553,-0.132105684547638
12369,53554,-0.453049109552078
12370,53120,-0.431216931216931
12371,53120,-0.209531013615734
12372,53120,-0.609337551529096
12373,53556,-0.191025641025641
12374,53557,-0.436646255299105
12375,37493,-0.225842280636801
12376,53558,-0.0146187277755827
12377,53559,-0.677503932878867
12379,53560,0.14089709762533
12380,53561,-0.455357142857143
12381,53171,-2.10427421020029
12382,53562,-0.44918648310388
12383,53562,-0.489989462592202
12384,53563,-0.0489051094890511
12385,53564,-0.23789764868603
12388,53565,-0.846356073211314
12389,53566,-0.102255639097744
12390,53567,-0.692781690140845
12391,53568,-0.0159833217512162
12392,53570,-0.00799999999999997
12396,53572,-0.676753782668501
12397,53573,-0.659815005138746
12398,53574,-0.628643852978454
12399,53575,-0.549248747913189
12400,53576,-0.126555126555127
12401,53577,-0.841737891737892
12402,53578,-0.784090909090909
12403,53579,-0.217048710601719
12405,53580,0.0774555042847725
12406,53581,0.0729927007299269
12409,53582,-0.70015455950541
12410,53583,-0.0261166707346839
12411,53584,-0.676025917926566
12412,46431,-0.200549990178747
12413,53585,-0.64873417721519
12431,20977,-0.360679815358791
12437,20325,-0.37953091684435
12438,53202,-0.0582619896948078
12439,53603,-0.697318007662835
12440,53604,-0.65741935483871
12441,53101,-1.63864121562225
12442,53101,0.0314769975786926
12443,53101,-0.488366013071895
12444,53605,-0.833333333333333
12445,53606,-0.147114913889478
12446,53607,-0.259118541033435
12447,53608,0.0794871794871795
12448,53609,0.0562456866804693
12449,53610,-0.0196914998359041
12450,53611,-0.392727272727273
12451,53612,-0.26775956284153
12452,53613,-0.3
12453,37493,0.0183687730857543
12454,53614,-0.515235457063712
12455,53615,-0.629793510324484
12456,53616,0.171497584541063
12457,52902,-0.00582977069568605
12460,52902,-0.26906941266209
12461,52902,-0.126104417670683
12462,52902,-0.121951219512195
12463,50846,-0.0780874579529073
12464,53617,0.00298507462686561
12465,44040,-0.253014954172697
12468,44040,-0.192634560906516
12469,44040,-0.0188077781319732
12470,44040,-0.088826815642458
12471,44040,-0.0213548656514685
12472,53619,-0.1648
12473,53620,-0.3408
12476,53621,0.507037037037037
12477,53622,0.256
12478,53623,-0.559212376933896
12479,53569,-2.02075783221358
12480,53624,-0.0931147540983606
12481,53625,-0.342560553633218
12484,53626,-0.772020725388601
12485,53627,-0.387755102040816
12486,27382,-0.620916666666667
12487,53628,0.197459915611814
12488,53629,-0.877117117117117
12489,53630,-0.421252371916509
12490,20990,0.246813127203689
12492,53631,-0.835321285140562
12493,15632,0.202749140893471
12494,53632,0.15448275862069
12495,53633,-0.745098039215686
12496,53634,-0.301369863013699
12497,53635,0.177647058823529
12498,53636,-0.38
12499,53637,-0.620952380952381
12500,53638,-0.581986143187067
12501,46153,-0.823265306122449
12502,53639,0.0033444816053511
12503,21265,-0.337414728004198
12505,53640,-0.323857868020305
12506,53641,-0.824984373604786
12507,53642,-0.563543003851091
12508,53643,-0.170889924994932
12509,53644,0.132530120481928
12510,53202,0.00877334451504697
12513,53645,-0.0348235294117646
12514,53646,-0.23035
12515,53647,-0.225704225352113
12516,53648,-0.147
12517,51187,-0.00749211356466868
12518,51187,0.00317208564631252
12519,51187,0
12520,51187,0.00316706254948528
12521,53649,-0.706401766004415
12522,53650,0.145594900433537
12523,53651,-0.328335832083958
12524,53120,-1.78343313373253
12525,53120,-1.81345076060849
12526,53120,-0.413636363636364
12527,53652,-0.751497005988024
12528,53653,-0.14332784184514
12529,53412,-0.150110820068507
12530,53104,-0.0689525244913339
12531,53104,-0.0440489713492365
12532,44040,-0.213527524068131
12533,39147,-0.185978578383642
12534,39147,-0.0203255260023819
12535,53271,-0.0405566600397614
12536,53271,0.069952305246423
12537,50852,-0.100616424736528
12540,53654,-0.310833333333333
12541,53655,-0.0253623188405798
12542,53656,0.1876
12543,53657,-0.1995
12544,53658,-0.0943396226415094
12545,53659,-0.51172131147541
12548,53660,-2.21369047619048
12549,53661,-1.74821711568938
12550,53662,-0.102923976608187
12551,53663,0.0628480509148766
12552,53120,-0.0539766555408528
12553,53120,-0.164989939637827
12556,53664,-0.303571428571429
12557,53666,-0.826086956521739
12558,53667,0.0360708534621578
12559,53668,-0.654339622641509
12560,53669,-0.130934532733633
12561,50846,-1.73027454860252
12564,43629,-0.0651135005973715
12565,39147,-0.0250907890392868
12566,53670,-0.0257997936016512
12567,53441,-0.439644731530077
12568,53441,-0.12347620920173
12569,53671,-0.615
12570,20964,-0.6338321651828
12572,53672,-0.410511363636364
12573,53673,-0.578021978021978
12574,53674,-0.413664596273292
12575,53675,-0.513583441138422
12576,53676,-0.644808743169399
12577,53677,-0.0613409415121255
12578,52262,-0.2151605428666
12579,53678,-0.617396593673966
12580,53679,-0.831021437578815
12581,53680,0.0629834254143645
12582,53681,-0.228155339805825
12583,53682,0.232193732193732
12584,53683,-0.196428571428571
12585,53684,-0.42015503875969
12586,53685,-0.59704641350211
12587,53686,-0.00277008310249311
12588,16549,-0.694092827004219
12591,53688,-0.318131868131868
12592,53689,-0.391489361702128
12593,53690,-0.336331834082959
12594,53101,-1.86168879979955
12595,53101,-0.0775
12596,53101,-0.291854072963518
12599,53693,0.234113712374582
12600,52833,-0.0594254230617868
12601,52833,-0.0472440944881889
12602,52833,-0.0914105594956659
12603,52833,0.111111111111111
12604,52833,-0.0476379515680827
12605,52833,-1.9691673212883
12606,52833,-0.108192865542924
12607,52833,-1.8993288590604
12608,52833,0.0414201183431952
12609,52833,-0.193501189532117
12610,52833,-0.122411764705882
12611,52833,0.0814873417721518
12612,52833,-1.97959183673469
12613,52833,-0.0728520710059172
12614,52833,-0.213835027365129
12615,53694,0.226061204343534
12616,53120,-0.129365079365079
12617,53120,-0.168813559322034
12620,53120,-0.371140463917526
12621,53120,-0.30842659644503
12622,53696,-0.289813023855577
12623,53697,-0.246265060240964
12624,53127,-0.124899631107956
12625,37493,0.0949034709426429
12628,37493,-0.22485549132948
12629,53698,-0.466095645967166
12630,50699,-0.163338453661034
12631,52902,-0.0525268603263032
12632,50846,-1.90014940239044
12633,50846,-0.0720000000000001
12636,53700,-0.538529411764706
12637,53701,-0.549122807017544
12638,50852,0.00139944022391044
12639,53702,-0.0435238594651286
12640,53704,0.288177339901478
12641,53705,-0.15169946332737
12644,53706,0.414245014245014
12645,53707,-0.165435745937961
12646,53708,-1.75906821963394
12647,53708,-0.26163967611336
12648,53708,-0.198355263157895
12649,53708,-0.248405985686402
12650,21033,0.398807075277664
12651,53708,-0.348771580345286
12652,53708,-0.0562608912123476
12653,53708,-1.7574199966838
12654,53708,-0.218018018018018
12655,53708,-0.24245506951509
12656,53709,-1.9142371234208
12657,53709,-1.91535433070866
12658,53709,-1.92647777234978
12659,53709,-1.95551161641127
12660,53710,0.728358208955224
12661,53120,-1.77097203728362
12662,53711,-0.3465
12663,53712,-0.566153846153846
12664,50699,-1.70264404104183
12665,50699,-0.35918875502008
12666,50699,-0.0763052208835341
12667,53713,-1.61635944700461
12668,53714,-0.385786802030457
12671,50846,-0.166374885460356
12672,50846,-0.146487294469357
12673,50846,-2.03607340372046
12674,50846,-2.15784854563691
12675,39147,0.0324181276877274
12676,39147,0.0544
12679,53715,0.282527881040892
12680,53716,-0.663030303030303
12681,53717,-0.063673469387755
12682,53718,-0.176666666666667
12683,53719,0.4
12684,53720,-0.0316037735849056
12687,53721,-0.239090909090909
12688,53722,-0.0108604845446951
12689,53723,0.233802816901408
12690,53724,-0.0445205479452055
12691,53725,-0.422727272727273
12692,53726,-0.718711276332094
12693,53727,-0.23134328358209
12695,53728,0.0552763819095478
12696,53729,-0.100595238095238
12697,53730,-2.00561403508772
12698,53731,-0.2775
12699,53732,-0.513297872340426
12700,53733,-0.520714285714286
12717,39147,-0.12504854368932
12718,53746,-0.357730263157895
12719,53747,-0.144654088050315
12720,53748,-0.48034188034188
12725,53101,-0.171097657278231
12726,53101,-0.462003367003367
12727,53101,0.0193582604083797
12728,53101,-0.273918128654971
12729,53709,-1.90904471544715
12732,53120,-0.200647058823529
12733,53120,-0.279835390946502
12734,53120,-0.256549935149157
12735,53120,-1.97622192866579
12736,53120,-0.316002700877785
12737,53127,-0.355721393034826
12738,53127,-0.190999476713762
12739,37493,-0.0841623557500994
12740,37493,-1.99163846306988
