permno,permco,correlation
12106,9884,0.0761630773170992
12109,37493,0.821775167760434
12140,20833,0.420470102369365
12149,9879,0.429094043749452
12166,9999,0.181927438890244
12169,10053,0.619630469744496
12173,9914,0.740988458042508
12175,20846,0.218042696751478
12188,9683,0.0317989210200366
12189,10039,0.140255752989227
12190,10042,0.243664929027097
12209,10059,0.618119520495321
12211,9971,0.848643743421746
12214,9998,-0.0295042166419352
12217,8268,0.769493930920933
12219,37493,0.784251504069168
12226,9977,0.668231039789621
12248,9898,0.267374643187333
12266,9899,0.614426151391317
12287,37493,0.696957477218553
12288,53505,0.622383534403475
12289,53171,-0.302907578667504
12290,53171,-0.60818515693798
12291,53506,0.474878256671238
12292,43629,0.922041760203104
12293,53507,0.536113565320212
12294,53508,0.933842560706671
12295,53508,0.866676128937735
12296,53508,0.858738545013572
12297,53508,0.870418448109408
12301,53508,0.917992364879043
12302,53508,0.855583512449833
12303,53508,0.90760129893449
12304,53508,0.949937730566767
12305,41593,0.969616438958041
12306,50852,0.78449901751406
12307,53510,0.432839077388645
12308,17322,0.670750881257857
12309,53511,0.349130026455425
12310,53512,0.166551715787335
12311,53513,0.0881346801806807
12312,53514,0.481083542230465
12313,53292,0.967307579300556
12314,53292,0.942499888377553
12315,53292,0.939761404045129
12316,53292,0.956363604127141
12317,53292,0.968305562273554
12318,53292,0.96703941738525
12321,53292,0.918033559556154
12322,53202,0.716125634412037
12323,53515,0.592222939321846
12324,53516,0.428892469916134
12325,53518,0.527547285830212
12326,53519,0.195375646451718
12329,53520,0.469040875722179
12330,53521,0.388828710856295
12331,53522,0.115606824469161
12332,53523,0.77048042385111
12333,50699,0.858807188143052
12334,50699,0.529297975234677
12337,53525,0.273265832768998
12338,53526,0.196594933563465
12339,53527,0.26830137548747
12340,53528,0.660094882072886
12341,53529,0.515244705345277
12342,53530,0.58598329582966
12345,53531,0.810719954872199
12347,53532,0.496888064849422
12348,53533,0.672072675722738
12349,53534,0.46886251990564
12350,53535,0.0262952585307868
12352,53536,0.454880208987848
12353,53537,-0.0251285358657703
12354,53538,0.00165674955089067
12355,53539,0.380175143599936
12356,53540,0.468107658874598
12357,53541,0.379249843412013
12358,53542,0.102296108116082
12359,53543,0.513200050809825
12360,53544,0.586227064543915
12362,53545,0.0911114466230797
12363,53546,0.525989397824226
12364,53547,0.599780544943878
12365,53549,0.244396212675148
12366,53550,0.590403059053198
12367,53551,0.253376067750423
12368,53553,0.393636689838275
12369,53554,0.74461577906272
12370,53120,0.550963918554247
12371,53120,0.878250468357535
12372,53120,0.770853404454173
12373,53556,0.730790375305016
12374,53557,0.599737274055688
12375,37493,0.832750145321562
12376,53558,0.694673221694326
12377,53559,0.29059020257891
12379,53560,0.0641032471228177
12380,53561,0.171770429420433
12381,53171,-0.542557929757707
12382,53562,0.526024112636443
12383,53562,0.520851384142473
12384,53563,0.481361764532328
12385,53564,0.66080098975778
12388,53565,-0.0683052951521549
12389,53566,0.780470453534946
12390,53567,0.318295086731304
12391,53568,0.5420859797918
12392,53570,0.620694731394798
12396,53572,0.282890428708571
12397,53573,0.153378874844225
12398,53574,0.501746191231063
12399,53575,0.379903614894757
12400,53576,0.653174338520748
12401,53577,0.0374143071413913
12402,53578,0.378117333231445
12403,53579,0.230692737928433
12405,53580,0.275312136068901
12406,53581,0.15234379621202
12409,53582,0.444837398846885
12410,53583,0.527243413613106
12411,53584,0.259977297736666
12412,46431,0.917353287128846
12413,53585,0.334905109980877
12431,20977,0.776075947292118
12437,20325,0.654188660142415
12438,53202,0.637109692937637
12439,53603,0.639358323040271
12440,53604,0.164006253515342
12441,53101,0.467078604563309
12442,53101,-0.433062419024371
12443,53101,0.424392527079021
12444,53605,0.426886227612325
12445,53606,0.309235855895418
12446,53607,0.484929364189635
12447,53608,0.43381320116574
12448,53609,0.619486586889546
12449,53610,0.521231918552821
12450,53611,0.466446580832817
12451,53612,0.507838666816744
12452,53613,0.19244447725104
12453,37493,-0.0562012408326749
12454,53614,0.509278161576635
12455,53615,0.13373829194602
12456,53616,0.215683827541793
12457,52902,0.858111603288694
12460,52902,0.870353861225537
12461,52902,0.922351040464546
12462,52902,0.84734261516564
12463,50846,0.116061266561879
12464,53617,0.49240912844556
12465,44040,0.760069369588089
12468,44040,0.802699157155681
12469,44040,0.941190525652377
12470,44040,0.891062977501308
12471,44040,0.935704494149481
12472,53619,0.440896491088443
12473,53620,0.711872325171437
12476,53621,0.647298628678514
12477,53622,0.559787813512095
12478,53623,0.43376581492919
12479,53569,0.0513026100022122
12480,53624,0.190262408301254
12481,53625,0.284801163448764
12484,53626,0.0998225578934612
12485,53627,0.0426395038075414
12486,27382,0.0210273944935621
12487,53628,0.0796047249341847
12488,53629,0.248136970374801
12489,53630,0.438309341380039
12490,20990,0.717474738152885
12492,53631,0.209018493700866
12493,15632,0.42972344284877
12494,53632,0.587366853386627
12495,53633,0.088360676138071
12496,53634,0.284832017517505
12497,53635,0.206491031393485
12498,53636,0.144642274880399
12499,53637,0.174968882969995
12500,53638,0.391808884843879
12501,46153,0.548069049816383
12502,53639,0.0161776406120885
12503,21265,0.805734990572687
12505,53640,0.207191267301374
12506,53641,0.248926252877234
12507,53642,0.432235577830775
12508,53643,0.937819001910519
12509,53644,0.225115868306585
12510,53202,-0.933170658168263
12513,53645,0.754036918720004
12514,53646,0.306623489146735
12515,53647,0.575823737015797
12516,53648,0.420540943168981
12517,51187,0.292654465899972
12518,51187,0.364612315891951
12519,51187,0.394279078401113
12520,51187,0.382825873320377
12521,53649,0.460955700607394
12522,53650,-0.00487843361665445
